32
1218	1515	1570	1090	1033	1233	1598	1627	1173	1100	1757	1602	1911	0	1954	1448	1054	1401	2013	1538	2031	1275	1247	1727	1781	1631	1604	1787	1881	1529	1667	1581	
1276	1856	1346	1382	1934	1126	1402	1053	1377	1024	1118	1783	1639	1954	0	1747	1740	1046	1728	1418	1114	1224	1236	1362	1710	1439	1163	1492	1951	1070	1219	1586	
1116	1693	1606	1429	1489	1263	1576	1758	1216	1824	1650	1074	1420	1448	1747	0	1557	1519	1790	1414	1226	1669	1846	1831	1497	1085	1983	1880	1293	1354	1161	1030	
1800	1206	2000	1672	1860	1682	1924	1840	1287	1383	1465	1542	1724	1054	1740	1557	0	1811	1511	1434	1908	1528	1264	1963	1822	1481	1137	1761	1658	1071	1384	1759	
1480	1554	1204	1125	1732	1368	1746	1306	1897	1522	1440	2035	1640	1401	1046	1519	1811	0	1289	1782	1237	1254	1517	1169	1754	1895	1359	1843	1694	1525	1253	1779	
1549	1249	1735	1213	1995	1774	1794	1629	1073	1227	1874	1600	1150	2013	1728	1790	1511	1289	0	1463	1394	1067	1765	1064	1789	1748	1123	1156	1185	1544	1104	1980	
1332	1616	2032	1172	1315	1663	1460	1179	1559	1215	1698	1310	1171	1538	1418	1414	1434	1782	1463	0	1099	1692	1225	1674	1458	1738	1706	1250	1343	1550	2010	1605	
1960	1885	1479	1808	1680	1876	1851	1031	1119	2043	2002	1626	1449	2031	1114	1226	1908	1237	1394	1099	0	1278	1321	2016	1139	1061	1428	2029	1792	1291	1901	1198	
1913	1721	1190	1676	1523	1711	1047	1678	1314	1791	1709	1677	1734	1275	1224	1669	1528	1254	1067	1692	1278	0	1265	1339	1743	1858	1417	1241	1301	1622	1964	1949	
1296	1165	1364	1796	1595	1356	1516	2027	1395	1726	1702	1762	1862	1247	1236	1846	1264	1517	1765	1225	1321	1265	0	1184	1670	1712	1416	1921	1825	1037	1636	1652	
1902	1966	1109	1999	1593	1412	1592	1610	1391	1730	2015	1038	1852	1727	1362	1831	1963	1169	1064	1674	2016	1339	1184	0	1283	1326	1436	1540	1648	1718	1935	1127	
1285	1220	1638	1842	1108	1120	1989	1157	1699	1197	1572	1441	1194	1781	1710	1497	1822	1754	1789	1458	1139	1743	1670	1283	0	1547	1330	1603	1535	1058	1403	1615	
1673	1962	1865	1827	1400	1380	1352	1043	1307	1129	1087	2039	1229	1631	1439	1085	1481	1895	1748	1738	1061	1858	1712	1326	1547	0	1072	1338	1532	1923	1327	1451	
1442	1646	1563	1303	1259	1273	1232	1396	1729	1166	1272	1941	1562	1604	1163	1983	1137	1359	1123	1706	1428	1417	1416	1436	1330	1072	0	1799	1435	1845	1717	1107	
1763	1927	1083	1894	1715	1991	1904	1575	1868	1916	1424	1801	1174	1787	1492	1880	1761	1843	1156	1250	2029	1241	1921	1540	1603	1338	1799	0	1679	1505	1533	1331	
1419	1589	1688	1770	1363	1367	1574	1409	1813	1098	1392	1286	1217	1881	1951	1293	1658	1694	1185	1343	1792	1301	1825	1648	1535	1532	1435	1679	0	1282	1527	1196	
2006	1869	1666	1491	1614	1358	1290	1122	1115	1360	1425	1431	1266	1529	1070	1354	1071	1525	1544	1550	1291	1622	1037	1718	1058	1923	1845	1505	1282	0	1044	1584	
1312	1336	1588	1696	1661	1501	1587	1503	1786	1427	1507	1873	1810	1667	1219	1161	1384	1253	1104	2010	1901	1964	1636	1935	1403	1327	1717	1533	1527	1044	0	1135	
1444	1454	1512	1167	1833	2018	1804	1805	1898	1133	1681	1907	1582	1581	1586	1030	1759	1779	1980	1605	1198	1949	1652	1127	1615	1451	1107	1331	1196	1584	1135	0	
